,,HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.999$),HybridSVD ($\alpha=0.999$),HybridSVD ($\alpha=0.999$),PureSVD+CB,PureSVD+CB,PureSVD+CB
,,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR
fold,topk,,,,,,,,,
1,1,1055.0,0.0253914988814,0.0253914988814,1064.0,0.0261744966443,0.0261744966443,977.0,0.0256711409396,0.0256711409396
1,3,2270.0,0.0503914988814,0.0363721103654,2355.0,0.0506711409396,0.0369313944817,2154.0,0.051062639821,0.0366983594333
1,10,4377.0,0.0876398210291,0.0428220988246,4719.0,0.0895973154362,0.0436060953091,4166.0,0.0870805369128,0.0428413630553
1,20,6384.0,0.110738255034,0.0444436502661,7419.0,0.112919463087,0.0452269776128,5871.0,0.110682326622,0.0444511598881
1,30,8544.0,0.126286353468,0.045075348261,10812.0,0.127796420582,0.0458286363875,7278.0,0.125,0.0450185045892
2,1,1069.0,0.0236057504055,0.0236057504055,1102.0,0.0242210661744,0.0242210661744,989.0,0.0237176259999,0.0237176259999
2,3,2316.0,0.0503999552498,0.0351196136563,2347.0,0.0505677686413,0.035632376797,2204.0,0.049504950495,0.0348585706028
2,10,4434.0,0.0863679588298,0.0411952353427,4751.0,0.0879901549477,0.041927665325,4263.0,0.0851373272921,0.0408864231863
2,20,6509.0,0.110141522627,0.0428229960143,7597.0,0.110700900599,0.0434947739234,5980.0,0.109022766683,0.0425508537579
2,30,8661.0,0.125020976674,0.0434277645756,11020.0,0.125748168037,0.0441036211851,7422.0,0.122615651396,0.0430959786835
3,1,1060.0,0.0235682696076,0.0235682696076,1091.0,0.0240161227118,0.0240161227118,993.0,0.0223366735711,0.0223366735711
3,3,2322.0,0.0487040250798,0.034494019295,2417.0,0.0483681352516,0.0346246431171,2217.0,0.0470805575771,0.0331131388904
3,10,4433.0,0.0850361081565,0.0407187109295,4767.0,0.0857078878128,0.040967362705,4208.0,0.0839164753961,0.03940865174
3,20,6372.0,0.110227845267,0.0424916252587,7484.0,0.110619716733,0.042705046814,5905.0,0.108828304316,0.0411614116129
3,30,8530.0,0.125622795723,0.0431112852068,10762.0,0.127078318312,0.0433697429938,7391.0,0.122991658736,0.0417317515699
4,1,1055.0,0.0233378106111,0.0233378106111,1076.0,0.0232818446385,0.0232818446385,980.0,0.0235616745019,0.0235616745019
4,3,2307.0,0.0484105663756,0.0343164689202,2387.0,0.0490821580479,0.0345216774868,2200.0,0.0481307365122,0.034297813596
4,10,4474.0,0.0851802104321,0.0405377308374,4743.0,0.0863554958585,0.0408973344207,4221.0,0.0835012312514,0.0402847957331
4,20,6465.0,0.110141034251,0.042269654613,7515.0,0.111092455787,0.0426292006853,5912.0,0.107790463398,0.0419655292877
4,30,8579.0,0.124972017014,0.0428686719753,10823.0,0.12698679203,0.0432801715701,7385.0,0.122957241997,0.0425806608764
5,1,1064.0,0.0238135166862,0.0238135166862,1074.0,0.0242607188775,0.0242607188775,974.0,0.0229191123037,0.0229191123037
5,3,2268.0,0.0483537369333,0.0344159353047,2359.0,0.0499189446028,0.0353382898243,2154.0,0.0476270333725,0.0335587977714
5,10,4426.0,0.0849684163452,0.0406807810422,4720.0,0.0854715188104,0.0414073515071,4237.0,0.0842417127844,0.0398526805956
5,20,6402.0,0.110626642071,0.042484823631,7461.0,0.111297445357,0.0432201170912,5958.0,0.110235340153,0.041660806329
5,30,8736.0,0.124042707809,0.0430247096624,10856.0,0.125943317122,0.0438052906585,7517.0,0.125160713287,0.0422657674755
