,,HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$),PureSVD+CB,PureSVD+CB,PureSVD+CB
,,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR
fold,topk,,,,,,,,,
1,1,55.0,0.0113314447592,0.0113314447592,61.0,0.014164305949,0.014164305949,106.0,0.014164305949,0.014164305949
1,3,157.0,0.0254957507082,0.0172332389046,162.0,0.028328611898,0.0198300283286,246.0,0.0269121813031,0.0198300283286
1,10,400.0,0.0538243626062,0.0215898871352,416.0,0.0509915014164,0.0237162192545,625.0,0.0580736543909,0.0247892216377
1,20,654.0,0.0651558073654,0.022426098453,681.0,0.070821529745,0.0251595152855,1041.0,0.0793201133144,0.0261741864016
1,30,900.0,0.0835694050992,0.0231604206284,944.0,0.086402266289,0.0257577858364,1363.0,0.0892351274788,0.0265965685521
2,1,56.0,0.00848656294201,0.00848656294201,57.0,0.00707213578501,0.00707213578501,99.0,0.00848656294201,0.00848656294201
2,3,145.0,0.01414427157,0.010843941537,156.0,0.015558698727,0.0106082036775,240.0,0.016973125884,0.0120226308345
2,10,368.0,0.0523338048091,0.0168715340922,386.0,0.049504950495,0.0156990188815,618.0,0.04243281471,0.0159908848028
2,20,647.0,0.0876944837341,0.0191764711001,683.0,0.0862800565771,0.0180753983,1017.0,0.0848656294201,0.0188657603421
2,30,864.0,0.101838755304,0.0197359313118,914.0,0.108910891089,0.0189764901085,1348.0,0.0961810466761,0.019282075129
3,1,52.0,0.014164305949,0.014164305949,60.0,0.0127478753541,0.0127478753541,96.0,0.0127478753541,0.0127478753541
3,3,134.0,0.0269121813031,0.0200661000944,148.0,0.0269121813031,0.0188857412653,238.0,0.0254957507082,0.0181775259679
3,10,364.0,0.0524079320113,0.0239927604658,389.0,0.0609065155807,0.0237128468007,584.0,0.0580736543909,0.0234160708665
3,20,611.0,0.0849858356941,0.0263272674429,649.0,0.086402266289,0.025615721687,961.0,0.0835694050992,0.0252204265344
3,30,837.0,0.0977337110482,0.0268222341819,873.0,0.104815864023,0.0263650485575,1293.0,0.0963172804533,0.0256950917033
4,1,55.0,0.00565770862801,0.00565770862801,63.0,0.00565770862801,0.00565770862801,99.0,0.00565770862801,0.00565770862801
4,3,146.0,0.026874115983,0.0153229608675,158.0,0.026874115983,0.015087223008,254.0,0.02828854314,0.015087223008
4,10,371.0,0.0678925035361,0.0220145483936,388.0,0.0707213578501,0.0225791966952,589.0,0.0693069306931,0.022454592398
4,20,617.0,0.0876944837341,0.0234398825118,642.0,0.0891089108911,0.0238563930743,986.0,0.0961810466761,0.0240280088064
4,30,836.0,0.106082036775,0.0241829632016,885.0,0.110325318246,0.024675081739,1327.0,0.123055162659,0.0251166048342
5,1,65.0,0.0056657223796,0.0056657223796,62.0,0.0056657223796,0.0056657223796,99.0,0.0155807365439,0.0155807365439
5,3,149.0,0.028328611898,0.0155807365439,165.0,0.0198300283286,0.0122757318225,243.0,0.028328611898,0.0214825306893
5,10,375.0,0.0594900849858,0.0207737533162,403.0,0.0594900849858,0.01925839741,599.0,0.056657223796,0.0261179684338
5,20,635.0,0.0878186968839,0.0226328970779,679.0,0.086402266289,0.0210218372172,1033.0,0.0835694050992,0.0280678400179
5,30,866.0,0.110481586402,0.0235118764799,932.0,0.120396600567,0.022439871045,1364.0,0.104815864023,0.028941349439
