score,feature,metric
0.027385892116182576,cast,cosine
0.014107883817427386,cast,jaccard
0.03402489626556016,cast,jaccard-weighted
0.030705394190871364,cast,tfidf-cosine
0.026556016597510373,director,cosine
0.024066390041493777,director,jaccard
0.023236514522821577,director,jaccard-weighted
0.027385892116182576,director,tfidf-cosine
0.008298755186721992,genres,cosine
0.0033195020746887966,genres,jaccard
0.013278008298755186,genres,jaccard-weighted
0.007468879668049792,genres,tfidf-cosine
0.008298755186721992,writer,cosine
0.008298755186721992,writer,jaccard
0.007468879668049792,writer,jaccard-weighted
0.009128630705394191,writer,tfidf-cosine
